                 17857525  COMPLETED         10        1 2021-10-13T15:51:16 2021-10-13T15:51:17 2021-10-13T15:52:47         19.05K                                                     
           17857525.batch  COMPLETED         10        1 2021-10-13T15:51:17 2021-10-13T15:51:17 2021-10-13T15:52:47         13.38K                     6264K                     6264K 
          17857525.extern  COMPLETED         10        1 2021-10-13T15:51:17 2021-10-13T15:51:17 2021-10-13T15:52:47         13.66K                      473K                       68K 
               17857525.0  COMPLETED         10        1 2021-10-13T15:51:21 2021-10-13T15:51:21 2021-10-13T15:51:22            186                      352K                   312.30K 
               17857525.1  COMPLETED         10        1 2021-10-13T15:51:23 2021-10-13T15:51:23 2021-10-13T15:51:24            186                      420K                   306.70K 
               17857525.2  COMPLETED         10        1 2021-10-13T15:51:24 2021-10-13T15:51:24 2021-10-13T15:51:27            188                      352K                   325.80K 
               17857525.3  COMPLETED         10        1 2021-10-13T15:51:28 2021-10-13T15:51:28 2021-10-13T15:51:29            192                      352K                   341.90K 
               17857525.4  COMPLETED         10        1 2021-10-13T15:51:29 2021-10-13T15:51:29 2021-10-13T15:51:31            186                      352K                   335.20K 
               17857525.5  COMPLETED         10        1 2021-10-13T15:51:31 2021-10-13T15:51:31 2021-10-13T15:51:32            186                      352K                   329.80K 
               17857525.6  COMPLETED         10        1 2021-10-13T15:51:32 2021-10-13T15:51:32 2021-10-13T15:51:33            184                      428K                   311.10K 
               17857525.7  COMPLETED         10        1 2021-10-13T15:51:34 2021-10-13T15:51:34 2021-10-13T15:51:35            185                      416K                   341.40K 
               17857525.8  COMPLETED         10        1 2021-10-13T15:51:35 2021-10-13T15:51:35 2021-10-13T15:51:37            180                      428K                   317.40K 
               17857525.9  COMPLETED         10        1 2021-10-13T15:51:39 2021-10-13T15:51:39 2021-10-13T15:51:42             17                      424K                   272.70K 
              17857525.10  COMPLETED         10        1 2021-10-13T15:51:42 2021-10-13T15:51:42 2021-10-13T15:51:44            185                      356K                   304.20K 
              17857525.11  COMPLETED         10        1 2021-10-13T15:51:44 2021-10-13T15:51:44 2021-10-13T15:51:45            189                      352K                   322.20K 
              17857525.12  COMPLETED         10        1 2021-10-13T15:51:45 2021-10-13T15:51:45 2021-10-13T15:51:47            184                      388K                   310.70K 
              17857525.13  COMPLETED         10        1 2021-10-13T15:51:48 2021-10-13T15:51:48 2021-10-13T15:51:49            183                      352K                   336.90K 
              17857525.14  COMPLETED         10        1 2021-10-13T15:51:49 2021-10-13T15:51:49 2021-10-13T15:51:51            183                      428K                   346.60K 
              17857525.15  COMPLETED         10        1 2021-10-13T15:51:51 2021-10-13T15:51:51 2021-10-13T15:51:53            187                      352K                   335.90K 
              17857525.16  COMPLETED         10        1 2021-10-13T15:51:54 2021-10-13T15:51:54 2021-10-13T15:51:55            184                      424K                      270K 
              17857525.17  COMPLETED         10        1 2021-10-13T15:51:55 2021-10-13T15:51:55 2021-10-13T15:51:57            186                      352K                   304.80K 
              17857525.18  COMPLETED         10        1 2021-10-13T15:51:57 2021-10-13T15:51:57 2021-10-13T15:51:59            182                      428K                      357K 
              17857525.19  COMPLETED         10        1 2021-10-13T15:51:59 2021-10-13T15:51:59 2021-10-13T15:52:01            185                      420K                   280.60K 
              17857525.20  COMPLETED         10        1 2021-10-13T15:52:01 2021-10-13T15:52:01 2021-10-13T15:52:03            185                      352K                   339.90K 
              17857525.21  COMPLETED         10        1 2021-10-13T15:52:04 2021-10-13T15:52:04 2021-10-13T15:52:05            188                      356K                   340.20K 
              17857525.22  COMPLETED         10        1 2021-10-13T15:52:06 2021-10-13T15:52:06 2021-10-13T15:52:08            185                      352K                   287.50K 
              17857525.23  COMPLETED         10        1 2021-10-13T15:52:08 2021-10-13T15:52:08 2021-10-13T15:52:11            187                      420K                   349.40K 
              17857525.24  COMPLETED         10        1 2021-10-13T15:52:14 2021-10-13T15:52:14 2021-10-13T15:52:16            185                      420K                   353.70K 
              17857525.25  COMPLETED         10        1 2021-10-13T15:52:20 2021-10-13T15:52:20 2021-10-13T15:52:22            187                      352K                   340.30K 
              17857525.26  COMPLETED         10        1 2021-10-13T15:52:24 2021-10-13T15:52:24 2021-10-13T15:52:32            186                      420K                   345.80K 
              17857525.27  COMPLETED         10        1 2021-10-13T15:52:37 2021-10-13T15:52:37 2021-10-13T15:52:39            184                      352K                      341K 
              17857525.28  COMPLETED         10        1 2021-10-13T15:52:41 2021-10-13T15:52:41 2021-10-13T15:52:43            184                      352K                   326.20K 
              17857525.29  COMPLETED         10        1 2021-10-13T15:52:44 2021-10-13T15:52:44 2021-10-13T15:52:47            183                      352K                   319.30K 
